Time/(s),Speed/(km/h)
0,0.0 
1,0.0 
2,0.0 
3,0.0 
4,0.0 
5,0.0 
6,0.0 
7,0.0 
8,0.0 
9,0.0 
10,0.0 
11,0.0 
12,0.0 
13,0.0 
14,0.0 
15,0.0 
16,0.0 
17,0.0 
18,4.1 
19,7.0 
20,10.0 
21,13.1 
22,16.2 
23,18.3 
24,19.0 
25,18.8 
26,18.4 
27,17.9 
28,17.6 
29,17.4 
30,17.1 
31,16.5 
32,15.3 
33,13.4 
34,11.3 
35,9.3 
36,7.8 
37,7.0 
38,6.9 
39,6.9 
40,6.9 
41,6.7 
42,6.5 
43,6.2 
44,5.7 
45,4.9 
46,3.7 
47,2.6 
48,1.9 
49,1.2 
50,0.0 
51,0.0 
52,0.0 
53,0.0 
54,0.0 
55,0.0 
56,0.0 
57,0.0 
58,0.0 
59,0.0 
60,0.0 
61,0.0 
62,0.0 
63,0.0 
64,0.0 
65,0.0 
66,0.0 
67,0.0 
68,0.0 
69,0.0 
70,0.0 
71,0.0 
72,0.0 
73,0.0 
74,0.0 
75,0.0 
76,0.0 
77,0.0 
78,0.0 
79,0.0 
80,0.0 
81,0.0 
82,0.0 
83,0.0 
84,0.0 
85,0.0 
86,3.5 
87,6.4 
88,9.4 
89,11.1 
90,11.5 
91,11.0 
92,10.3 
93,9.7 
94,9.2 
95,8.2 
96,6.8 
97,5.1 
98,3.6 
99,2.1 
100,0.0 
101,0.0 
102,0.0 
103,0.0 
104,0.0 
105,0.0 
106,0.0 
107,0.0 
108,0.0 
109,0.0 
110,0.0 
111,0.0 
112,0.0 
113,0.0 
114,0.0 
115,0.0 
116,0.0 
117,0.0 
118,0.0 
119,0.0 
120,0.0 
121,0.0 
122,0.0 
123,0.0 
124,0.0 
125,0.0 
126,0.0 
127,0.0 
128,0.0 
129,0.0 
130,0.0 
131,0.0 
132,0.0 
133,0.0 
134,0.0 
135,0.0 
136,0.0 
137,0.0 
138,0.0 
139,0.0 
140,0.0 
141,0.0 
142,0.0 
143,0.0 
144,0.0 
145,0.0 
146,0.0 
147,0.0 
148,0.0 
149,0.0 
150,0.0 
151,0.0 
152,0.0 
153,0.0 
154,0.0 
155,0.0 
156,0.0 
157,2.7 
158,4.0 
159,4.7 
160,5.0 
161,5.1 
162,5.2 
163,5.2 
164,5.1 
165,5.2 
166,5.8 
167,7.1 
168,8.9 
169,10.0 
170,10.3 
171,9.5 
172,7.3 
173,4.4 
174,2.1 
175,0.0 
176,0.0 
177,0.0 
178,0.0 
179,0.0 
180,0.0 
181,0.0 
182,0.0 
183,0.0 
184,0.0 
185,0.0 
186,0.0 
187,0.0 
188,0.0 
189,0.0 
190,0.0 
191,0.0 
192,0.0 
193,0.0 
194,0.0 
195,0.0 
196,0.0 
197,0.0 
198,0.0 
199,0.0 
200,0.0 
201,0.0 
202,0.0 
203,0.0 
204,0.0 
205,0.0 
206,0.0 
207,0.0 
208,0.0 
209,0.0 
210,0.0 
211,0.0 
212,0.0 
213,0.0 
214,0.0 
215,0.0 
216,0.0 
217,0.0 
218,0.0 
219,0.0 
220,0.0 
221,0.0 
222,0.0 
223,0.0 
224,0.0 
225,0.0 
226,0.0 
227,0.0 
228,0.0 
229,0.0 
230,0.0 
231,0.0 
232,0.0 
233,0.0 
234,0.0 
235,0.0 
236,0.0 
237,0.0 
238,0.0 
239,0.0 
240,0.0 
241,0.0 
242,0.0 
243,0.0 
244,0.0 
245,0.0 
246,0.0 
247,0.0 
248,0.0 
249,0.0 
250,0.0 
251,0.0 
252,0.0 
253,0.0 
254,0.0 
255,0.0 
256,0.0 
257,0.0 
258,0.0 
259,0.0 
260,0.0 
261,0.0 
262,0.0 
263,2.4 
264,3.4 
265,4.0 
266,4.4 
267,5.0 
268,5.9 
269,7.0 
270,8.4 
271,9.8 
272,10.7 
273,11.1 
274,11.3 
275,11.3 
276,11.1 
277,10.2 
278,8.9 
279,7.8 
280,7.0 
281,6.6 
282,6.2 
283,5.5 
284,4.3 
285,2.7 
286,0.0 
287,0.0 
288,0.0 
289,0.0 
290,0.0 
291,2.8 
292,4.4 
293,5.5 
294,6.4 
295,7.4 
296,8.1 
297,8.8 
298,9.6 
299,10.2 
300,10.6 
301,10.6 
302,10.3 
303,9.8 
304,9.5 
305,9.8 
306,10.9 
307,12.2 
308,13.5 
309,15.0 
310,16.3 
311,16.9 
312,17.1 
313,17.1 
314,17.8 
315,19.4 
316,21.6 
317,23.1 
318,23.6 
319,23.4 
320,22.9 
321,22.4 
322,22.0 
323,20.8 
324,18.2 
325,14.5 
326,10.9 
327,8.1 
328,5.6 
329,3.2 
330,0.0 
331,0.0 
332,0.0 
333,0.0 
334,0.0 
335,0.0 
336,0.0 
337,2.4 
338,6.0 
339,10.9 
340,14.4 
341,18.8 
342,22.6 
343,25.7 
344,27.9 
345,28.3 
346,27.5 
347,25.9 
348,24.0 
349,21.8 
350,19.4 
351,17.0 
352,15.3 
353,14.4 
354,14.3 
355,15.0 
356,17.9 
357,22.3 
358,26.0 
359,28.9 
360,32.2 
361,35.5 
362,38.2 
363,40.3 
364,41.7 
365,42.7 
366,43.7 
367,44.8 
368,45.5 
369,45.7 
370,45.8 
371,45.3 
372,43.9 
373,41.5 
374,38.8 
375,35.9 
376,33.0 
377,30.8 
378,29.2 
379,27.5 
380,24.6 
381,20.5 
382,16.3 
383,12.4 
384,8.6 
385,4.5 
386,0.0 
387,0.0 
388,0.0 
389,3.6 
390,7.2 
391,11.8 
392,15.2 
393,17.7 
394,19.9 
395,21.7 
396,23.3 
397,24.6 
398,25.1 
399,25.2 
400,25.6 
401,26.4 
402,26.9 
403,27.0 
404,26.8 
405,26.8 
406,26.9 
407,27.1 
408,27.2 
409,26.9 
410,26.2 
411,25.8 
412,26.0 
413,26.5 
414,27.2 
415,27.5 
416,27.1 
417,25.8 
418,24.3 
419,23.5 
420,23.5 
421,23.6 
422,23.8 
423,23.9 
424,24.4 
425,25.8 
426,27.6 
427,29.1 
428,29.7 
429,29.8 
430,29.8 
431,29.8 
432,29.9 
433,30.1 
434,30.2 
435,30.0 
436,29.4 
437,28.7 
438,27.7 
439,26.4 
440,25.4 
441,25.1 
442,24.9 
443,24.6 
444,23.7 
445,22.4 
446,20.9 
447,19.1 
448,16.9 
449,14.4 
450,12.0 
451,9.7 
452,7.1 
453,4.1 
454,0.0 
455,0.0 
456,0.0 
457,0.0 
458,0.0 
459,0.0 
460,0.0 
461,0.0 
462,0.0 
463,0.0 
464,3.9 
465,7.6 
466,11.5 
467,14.9 
468,17.0 
469,20.0 
470,23.1 
471,25.4 
472,26.7 
473,27.8 
474,29.2 
475,30.8 
476,32.1 
477,32.8 
478,32.9 
479,32.5 
480,31.4 
481,30.3 
482,29.9 
483,30.0 
484,30.4 
485,31.4 
486,32.5 
487,33.4 
488,33.6 
